Type,Alias,Full Name,Offset,Mask/Size,Description
R,USART0_WPMR,USART0_WPMR,USART0 + 0xE4,0xFFFFFFFF,Write Protect Mode Register
R,USART0_WPSR,USART0_WPSR,USART0 + 0xE8,0xFFFFFFFF,Write Protect Status Register
R,USART0_VERSION,USART0_VERSION,USART0 + 0xFC,0xFFFFFFFF,Version Register
R,USART1,USART1_BASE,0x40028000,0xFFFFFFFF,UART 1 Base Address
R,USART1_CR,USART1_CR,USART1 + 0x00,0xFFFFFFFF,Control Register
R,USART1_MR,USART1_MR,USART1 + 0x04,0xFFFFFFFF,Mode Register
R,USART1_IER,USART1_IER,USART1 + 0x08,0xFFFFFFFF,Interrupt Enable Register
R,USART1_IDR,USART1_IDR,USART1 + 0x0C,0xFFFFFFFF,Interrupt Disable Register
R,USART1_IMR,USART1_IMR,USART1 + 0x010,0xFFFFFFFF,Interrupt Mask Register
R,USART1_CSR,USART1_CSR,USART1 + 0x14,0xFFFFFFFF,Channel Status Register
R,USART1_RHR,USART1_RHR,USART1 + 0x18,0xFFFFFFFF,Receiver Holding Register
R,USART1_THR,USART1_THR,USART1 + 0x1C,0xFFFFFFFF,Transmitter Holding Register
R,USART1_BRGR,USART1_BRGR,USART1 + 0x20,0xFFFFFFFF,Baud Rate Generator Register
R,USART1_RTOR,USART1_RTOR,USART1 + 0x24,0xFFFFFFFF,Receiver Time-out Register
R,USART1_TTGR,USART1_TTGR,USART1 + 0x28,0xFFFFFFFF,Transmitter Timeguard Register
R,USART1_FIDI,USART1_FIDI,USART1 + 0x40,0xFFFFFFFF,FI DI Ratio Register
R,USART1_NER,USART1_NER,USART1 + 0x44,0xFFFFFFFF,Number of Errors Register
R,USART1_IFR,USART1_IFR,USART1 + 0x4C,0xFFFFFFFF,IrDA Filter Register
R,USART1_MAN,USART1_MAN,USART1 + 0x50,0xFFFFFFFF,Manchester Configuration Register
R,USART1_LINMR,USART1_LINMR,USART1 + 0x54,0xFFFFFFFF,LIN Mode Register
R,USART1_LINIR,USART1_LINIR,USART1 + 0x58,0xFFFFFFFF,LIN Identifier Register
R,USART1_LINBR,USART1_LINBR,USART1 + 0x5C,0xFFFFFFFF,LIN Baud Rate Register
R,USART1_WPMR,USART1_WPMR,USART1 + 0xE4,0xFFFFFFFF,Write Protect Mode Register
R,USART1_WPSR,USART1_WPSR,USART1 + 0xE8,0xFFFFFFFF,Write Protect Status Register
R,USART1_VERSION,USART1_VERSION,USART1 + 0xFC,0xFFFFFFFF,Version Register
R,USART2,USART2_BASE,0x4002C000,0xFFFFFFFF,UART 2 Base Address
R,USART2_CR,USART2_CR,USART2 + 0x00,0xFFFFFFFF,Control Register
R,USART2_MR,USART2_MR,USART2 + 0x04,0xFFFFFFFF,Mode Register
R,USART2_IER,USART2_IER,USART2 + 0x08,0xFFFFFFFF,Interrupt Enable Register
R,USART2_IDR,USART2_IDR,USART2 + 0x0C,0xFFFFFFFF,Interrupt Disable Register
R,USART2_IMR,USART2_IMR,USART2 + 0x010,0xFFFFFFFF,Interrupt Mask Register
R,USART2_CSR,USART2_CSR,USART2 + 0x14,0xFFFFFFFF,Channel Status Register
R,USART2_RHR,USART2_RHR,USART2 + 0x18,0xFFFFFFFF,Receiver Holding Register
R,USART2_THR,USART2_THR,USART2 + 0x1C,0xFFFFFFFF,Transmitter Holding Register
R,USART2_BRGR,USART2_BRGR,USART2 + 0x20,0xFFFFFFFF,Baud Rate Generator Register
R,USART2_RTOR,USART2_RTOR,USART2 + 0x24,0xFFFFFFFF,Receiver Time-out Register
R,USART2_TTGR,USART2_TTGR,USART2 + 0x28,0xFFFFFFFF,Transmitter Timeguard Register
R,USART2_FIDI,USART2_FIDI,USART2 + 0x40,0xFFFFFFFF,FI DI Ratio Register
R,USART2_NER,USART2_NER,USART2 + 0x44,0xFFFFFFFF,Number of Errors Register
R,USART2_IFR,USART2_IFR,USART2 + 0x4C,0xFFFFFFFF,IrDA Filter Register
R,USART2_MAN,USART2_MAN,USART2 + 0x50,0xFFFFFFFF,Manchester Configuration Register
R,USART2_LINMR,USART2_LINMR,USART2 + 0x54,0xFFFFFFFF,LIN Mode Register
R,USART2_LINIR,USART2_LINIR,USART2 + 0x58,0xFFFFFFFF,LIN Identifier Register
R,USART2_LINBR,USART2_LINBR,USART2 + 0x5C,0xFFFFFFFF,LIN Baud Rate Register
R,USART2_WPMR,USART2_WPMR,USART2 + 0xE4,0xFFFFFFFF,Write Protect Mode Register
R,USART2_WPSR,USART2_WPSR,USART2 + 0xE8,0xFFFFFFFF,Write Protect Status Register
R,USART2_VERSION,USART2_VERSION,USART2 + 0xFC,0xFFFFFFFF,Version Register
R,USART3,USART3_BASE,0x40030000,0xFFFFFFFF,UART 3 Base Address
R,USART3_CR,USART3_CR,USART3 + 0x00,0xFFFFFFFF,Control Register
R,USART3_MR,USART3_MR,USART3 + 0x04,0xFFFFFFFF,Mode Register
R,USART3_IER,USART3_IER,USART3 + 0x08,0xFFFFFFFF,Interrupt Enable Register
R,USART3_IDR,USART3_IDR,USART3 + 0x0C,0xFFFFFFFF,Interrupt Disable Register
R,USART3_IMR,USART3_IMR,USART3 + 0x010,0xFFFFFFFF,Interrupt Mask Register
R,USART3_CSR,USART3_CSR,USART3 + 0x14,0xFFFFFFFF,Channel Status Register
R,USART3_RHR,USART3_RHR,USART3 + 0x18,0xFFFFFFFF,Receiver Holding Register
R,USART3_THR,USART3_THR,USART3 + 0x1C,0xFFFFFFFF,Transmitter Holding Register
R,USART3_BRGR,USART3_BRGR,USART3 + 0x20,0xFFFFFFFF,Baud Rate Generator Register
R,USART3_RTOR,USART3_RTOR,USART3 + 0x24,0xFFFFFFFF,Receiver Time-out Register
R,USART3_TTGR,USART3_TTGR,USART3 + 0x28,0xFFFFFFFF,Transmitter Timeguard Register
R,USART3_FIDI,USART3_FIDI,USART3 + 0x40,0xFFFFFFFF,FI DI Ratio Register
R,USART3_NER,USART3_NER,USART3 + 0x44,0xFFFFFFFF,Number of Errors Register
R,USART3_IFR,USART3_IFR,USART3 + 0x4C,0xFFFFFFFF,IrDA Filter Register
R,USART3_MAN,USART3_MAN,USART3 + 0x50,0xFFFFFFFF,Manchester Configuration Register
R,USART3_LINMR,USART3_LINMR,USART3 + 0x54,0xFFFFFFFF,LIN Mode Register
R,USART3_LINIR,USART3_LINIR,USART3 + 0x58,0xFFFFFFFF,LIN Identifier Register
R,USART3_LINBR,USART3_LINBR,USART3 + 0x5C,0xFFFFFFFF,LIN Baud Rate Register
R,USART3_WPMR,USART3_WPMR,USART3 + 0xE4,0xFFFFFFFF,Write Protect Mode Register
R,USART3_WPSR,USART3_WPSR,USART3 + 0xE8,0xFFFFFFFF,Write Protect Status Register
R,USART3_VERSION,USART3_VERSION,USART3 + 0xFC,0xFFFFFFFF,Version Register
R,PM,PM_BASE,0x400E0000,0xFFFFFFFF,Power Management Base Address
R,PM_MCCTRL,PM_MCCTRL,PM + 0x000,0xFFFFFFFF,Main Clock Control
R,PM_CPUSEL,PM_CPUSEL,PM + 0x004,0xFFFFFFFF,CPU Clock Select
R,PM_PBASEL,PM_PBASEL,PM + 0x00C,0xFFFFFFFF,PBA Clock Select
R,PM_PBBSEL,PM_PBBSEL,PM + 0x010,0xFFFFFFFF,PBB Clock Select
R,PM_PBCSEL,PM_PBCSEL,PM + 0x014,0xFFFFFFFF,PBC Clock Select
R,PM_PBDSEL,PM_PBDSEL,PM + 0x018,0xFFFFFFFF,PBD Clock Select
R,PM_CPUMASK,PM_CPUMASK,PM + 0x020,0xFFFFFFFF,CPU Mask
R,PM_HSBMASK,PM_HSBMASK,PM + 0x024,0xFFFFFFFF,HSB Mask
R,PM_PBAMASK,PM_PBAMASK,PM + 0x028,0xFFFFFFFF,PBA Mask
R,PM_PBBMASK,PM_PBBMASK,PM + 0x02C,0xFFFFFFFF,PBB Mask
R,PM_PBCMASK,PM_PBCMASK,PM + 0x030,0xFFFFFFFF,PBC Mask
R,PM_PBDMASK,PM_PBDMASK,PM + 0x034,0xFFFFFFFF,PBD Mask
R,PM_PBADIVMASK,PM_PBADIVMASK,PM + 0x040,0xFFFFFFFF,PBA Divided Mask
R,PM_CFDCTRL,PM_CFDCTRL,PM + 0x054,0xFFFFFFFF,Clock Failure Detector Control
R,PM_UNLOCK,PM_UNLOCK,PM + 0x058,0xFFFFFFFF,Unlock Register
R,PM_IER,PM_IER,PM + 0x0C0,0xFFFFFFFF,Interrupt Enable Register
R,PM_IDR,PM_IDR,PM + 0x0C4,0xFFFFFFFF,Interrupt Disable Register
R,PM_IMR,PM_IMR,PM + 0x0C8,0xFFFFFFFF,Interrupt Mask Register
R,PM_ISR,PM_ISR,PM + 0x0CC,0xFFFFFFFF,Interrupt Status Register
R,PM_ICR,PM_ICR,PM + 0x0D0,0xFFFFFFFF,Interrupt Clear Register
R,PM_SR,PM_SR,PM + 0x0D4,0xFFFFFFFF,Status Register
R,PM_PPCR,PM_PPCR,PM + 0x160,0xFFFFFFFF,Peripheral Power Control Register
R,PM_RCAUSE,PM_RCAUSE,PM + 0x180,0xFFFFFFFF,Reset Cause Register
R,PM_WCAUSE,PM_WCAUSE,PM + 0x184,0xFFFFFFFF,Wake Cause Register
R,PM_AWEN,PM_AWEN,PM + 0x188,0xFFFFFFFF,Asynchronous Wake Enable
R,PM_PROTCTRL,PM_PROTCTRL,PM + 0x18C,0xFFFFFFFF,Protection Control Register
R,PM_FASTSLEEP,PM_FASTSLEEP,PM + 0x194,0xFFFFFFFF,Fast Sleep Register
R,PM_CONFIG,PM_CONFIG,PM + 0x3F8,0xFFFFFFFF,Configuration Register
R,PM_VERSION,PM_VERSION,PM + 0x3FC,0xFFFFFFFF,Version Register
R,CHIPID,CHIPID_BASE,0x400E0740,0xFFFFFFFF,Chip ID Base Address
R,CHIPID_CIDR,CIDR,CHIPID + 0x000,0xFFFFFFFF,Chip ID Register
R,CHIPID_EXID,EXID,CHIPID + 0x004,0xFFFFFFFF,Chip ID Extension Register
